31	21	26.5
33	19	26
32	18	25
27	20	27.5
38	20	27.5
36	19.5	23
40	24.5	28
38	20	27
34	21	27
30	19	26.5
50	21.6	26.5
34	20	26.5
38	20	26.5
25	19.5	26
28	21.4	26.5
34	21	26
35	21.3	28
34	19.5	25
30	21.5	27
39	21.5	28
40	21	27.5
35	20.5	25.5
45	21.3	26.5
39	20.8	24.5
39	20	29
22	19	24.5
25	25	26.5
23	22	26.5
41	21	26
23	20.5	25.5
37	20.5	26
17	20	26.5
25	21	27
32	20	26
50	21.5	27.5
31	17	25.5
28	20.4	25.5
33	19	26.5
26	16	22.5
42	20	26
44	19	25
36	21	27
31	20	25
32	20	26
32	21	27
24	20.1	27.5
21	17.2	26.5
26	20	28
42	21.5	27
37	21	25.5
32	18.6	25.5
41	21	26.5
51	22.5	27
29	20.4	26
37	22.5	28
26	17.5	26
46	20.8	27
32	19.5	26
37	19.8	27
24	19	26.5
29	20.5	27
25	18	24
24	19.5	24
30	19.2	25
27	19	26
43	20.5	26.5
39	21.5	28
36	19.5	23.5
38	20.5	24.5
30	19.5	24.5
48	24	28
40	21	27
44	21	27.5
23	20	26.5
34	20	25.5
33	19	29
33	17.5	26
23	19	26
22	22	26
28	19.5	26
47	21.5	27
31	20.5	26
51	20.5	27
48	22	27
54	21.5	27
35	21	25
28	21	25
60	21	25
25	18	26
27	22	27
37	21	27
33	22	27
55	21.5	26.5
